Jm+Bp,Ti+Sl,Tc,Hs,Mf,Pl,Pi,Am,Ai,Ea,Tq,Mp,Calc,Rs,Ab,As,Ts,Ad,TO,PH,TG,Tt,Ph
327,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,0,80,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,7,53,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,83,227,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,85,79,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,57,42,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,70,43,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,43,9,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,23,8,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,14,6,2,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,11,4,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,12,5,1,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,10,3,3,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,8,6,2,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,11,4,6,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,11,4,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,17,1,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,8,6,2,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,19,3,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,86,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,7,21,68,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,3,13,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,9,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,25,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,3,35,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1,47,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,1,2,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,3,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,1,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,0,2,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,6,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,9,39,113,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,5,12,49,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1,11,58,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,5,35,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,9,90,32,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,13,87,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,14,66,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,15,68,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,16,78,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,12,57,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,9,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,9,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,2,27,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,10,18,41,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,33,54,64,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,24,34,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,11,42,24,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,16,21,23,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1,28,11,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,4,10,6,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,3,14,4,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3,4,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,2,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,3,2,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
